Location,Hospital_Name,State,District,Pincode
"894, Venkatesh Apparrment, Off F. C. Rd,Deccan Gymkhana,",Paranjpe Eye Clinic and Eye Surgery Centre,Maharashtra,Pune,411004
"1260 B, Jungli Maharaj Road Shivaji Nagar",Phadke Hospital,Maharashtra,Pune,411004
"33/15B, Regent Chambers Opp Garware College Gate Karve Road,Pune",Poona Laser Center,Maharashtra,Pune,411004
"9/7/20 A, Fergnsson College Road,Opp Hotel Vaishali,Next To Obc Bank.",Pramodini Urology Foundation,Maharashtra,Pune,411004
"1247, Deccan Gymkhana (D.G.), Apte Road Corner, Opposite Bank Of Maharashtra",Prayag Hospital,Maharashtra,Pune,411004
"387/5 Bhavani Peth, New Timber Market Road, Near 7 Loves Chowk,",Sahyadri Munot Hospital,Maharashtra,Pune,411004
"Plot 30 C, Erandwane, Karve Raod, Deccan,",Sahyadri Speciality Hospital Karve Raod,Maharashtra,Pune,411004
"Plot No 23, Off: Karve Road Erandawane Pune",Sanjeevan Hospital,Maharashtra,Pune,411004
"No. 1247, Deccan Gymkhana",Shree Medical Foundation Prayag Hospital,Maharashtra,Pune,411004
"Sec No, 27-A, P.No.421, Pcnt, Pune Pune",Shrikhande Clinic,Maharashtra,Pune,411004
"101, Trikaya House Deendayal Hospital Lane F C Road, Pune",Z Y - Vision,Maharashtra,Pune,411004
"202 Om Chambers, Above Hotel Panchali,Jangli, Maharaj Road,Pune",Bhide Clinic,Maharashtra,Pune,411005
"1233, Shivaji Nagar, J.M. Road, Pune 411005",Dr. Karve Childrens Hospital,Maharashtra,Pune,411005
"Survey No. 1160 / 61, Shivaji Nagar,Near Rahul Theatre,Opposite Lic,Ganeshkhind Road",Hardikar Hospital,Maharashtra,Pune,411005
"No. 778, Shivajinagar, Opposite Kamla Nehru Park",Joshi Hospital-Pune,Maharashtra,Pune,411005
Shivajinagar Pune,Mmf-Joshi Hospital,Maharashtra,Pune,411005
"1195/1, Nandadeep,Fergusson College Raod,Pune",Nandadeep Hospital,Maharashtra,Pune,411005
"1187/30 Off Ghole Road, Near Mahatma Phule Museum, Shivaji Nagar Pune",National Institute Of Ophthalmology,Maharashtra,Pune,411005
"1671-75, Ganeshkhind Road, Behind Hotel Pride, Shivajinagar Pune",Oyster And Pearl Hospital Pvt Ltd,Maharashtra,Pune,411005
"Kamal 2Nd Floor, 1306 Shivajinagar, Behind Bank Of Baroda, Pune",Pandit Clinic,Maharashtra,Pune,411005
"1162/3, Crescent Exclusee, Shivaji Nagar, Pune",Pune Fertility Center,Maharashtra,Pune,411005
"No. 562 / 1, Jada Bhuvan, Shivaji Nagaar, Opp Bal Gandharv Bridge",Pungliya Hospital,Maharashtra,Pune,411005
"1St Floor, Manisha, Behind Coffee House, Moledina Road,",S.S.R.Surgicentre,Maharashtra,Pune,411005
16 Shivajinagar Shivajinagar Pune,Sancheti Institute For Orthopedics And Rehabilitation,Maharashtra,Pune,411005
"1194/19B, Ghole Road Hotel Park View Lane Shivaji Nagar, Pune",Suman Nursing Home,Maharashtra,Pune,411005
"47/1/2A,Shivaji Nagar,Pune",Suyash Hospital(Dr.K.Shinde and Dr.Sunanda A.Shinde),Maharashtra,Pune,411005
"1194/24, Mugut Apartment, Ghole Road, Shivajinagar, Pune",Wagh Eye Clinic,Maharashtra,Pune,411005
"Deepak Park,Opp Shashtri Nagar, Police Station, Nagar Road, Pune",Adarsh Nursing Home,Maharashtra,Pune,411006
"1289, Seiko Apartment, Next To Gunjan Theater, Yerawada, Pune",Amit Hospital,Maharashtra,Pune,411006
"B, 2-3, Laxmi Classic Poona Alandi Road, Mohanwadi Near Vishrantwadi, Yerwada",Burute Hospital,Maharashtra,Pune,411006
"Poona Nagar Road, Main Road, Koregaon Bhima, Tal Shirur, Poona",Chaitanya Hospital,Maharashtra,Pune,411006
"D-Building Om Mahavir Soc, Irani Market,Yerwada Bus Stop",Dharma Orthopaedic Centre,Maharashtra,Pune,411006
"Ganga Complex, Air Port Road, Yerawada, Pune",Dr. Kiwalkars Medicare Centre,Maharashtra,Pune,411006
Nagar Road Yerawada Pune,Kataria Hospital,Maharashtra,Pune,411006
"Mohan Wadi, Alandi Road, Vishrantwadi Bridge, Yerwada Poona",Komal Nursing Home,Maharashtra,Pune,411006
"1St Lane,Nagpurchawl,Yerwada Pune",Nikhil Polyclinic,Maharashtra,Pune,411006
"7/1-2, Jail Road, Pune",Om Prasuti Graha,Maharashtra,Pune,411006
"191, Nagpur Chawl, Above Sanjay Medicals Near To Saibaba Mandir Nagpur Chawl, Yerwada, Pune- 411006",Rutu Anand Hospital,Maharashtra,Pune,411006
"S No.242, Cst No. 7261 Sainik Nagar, Near Pratik Nagar, Yerwada",Serene Hospital Pvt Ltd,Maharashtra,Pune,411006
"Netha Park, Yerwada, Opp Gunjan Theatre, Near Airport",Shah Accident Hospital,Maharashtra,Pune,411006
"Siddarth Mansion, Nagar Road,","Shree Hospital, Mansion",Maharashtra,Pune,411006
"Plot No.6, S N. No.6/A/1, C.S.T No.1307,Behind Sai - Baba Mandir,Air-Port Road, Yeswada.",Talesara Hospital,Maharashtra,Pune,411006
"Disha Apt, Sandhvi Nagar, Aundh, Pune",Disha Diagnostic Center,Maharashtra,Pune,411007
"2, Shakun Apartments, Above Bank Of Maharashtra, Near Sony World,Sanghavi Nagar, Bremen Chowk",Divya Eye Clinic and Day Care Centre,Maharashtra,Pune,411007
"86-87, Parvati",Dr Purohit Hospital,Maharashtra,Pune,411007
"Above Cosmos Bank,Near Siddharth Nagar,Aundhgaon",Health Plus Nursing Home,Maharashtra,Pune,411007
"163, D.P. Road, Aundh",Kotbagi Hospital,Maharashtra,Pune,411007
"Niyoshi Park-Ii, Sanghvi Nagar, Opposite Dass Showroom, D.P. Road, Aundh",Latkar Hospital,Maharashtra,Pune,411007
"Plot No.13, Sr No 157, Behind Hotel Polka Dots, Parihar Chowk, Aundh, Pune",Parmar Multi Speciality Hospital and Maternity Home,Maharashtra,Pune,411007
"Hrishikesh Dham, Parihar Chowk, Aundh",Rote Clinic,Maharashtra,Pune,411007
"251/252, Opp Bsnl Tel Exchange, Near Parihar Chowk, Aundh, Near Dav School Pune",Sai Shree Orthopaedic Super Speciality And Joint Replacement Centre,Maharashtra,Pune,411007
"S.No. 251/3/11 & 252/1/2,OppositeAundh, Telephone Exchange,D.P.Road,Aundh,",Sanjeevan Maternity And Surgical Hospital,Maharashtra,Pune,411007
"Opp D A V School, D P Road, Aundh, Pune",Shaswat Hospital,Maharashtra,Pune,411007
"Legacy, 2Nd Floor, D P Road, Above Lifeline Hospital, Aundh Pune",Surya Netralaya,Maharashtra,Pune,411007
"110, Patil, Plaza, 1St Floor, (A) Wing, Mitramandal Chowk, Pune",Asha Dental Clinic,Maharashtra,Pune,411009
"Sr No 133 1St Flr Rahi Sakha Apt, Opp Aqua House Nr Nilayam Overbridge, Sinhagad Rd, Parvati",Chaitanya Hospital,Maharashtra,Pune,411009
"Ashoka Centre, 2Nd Floor, Next To Bata Showroom, Pune- Satara Road, Pune",Dr. Ashok Parakh,Maharashtra,Pune,411009
"86-87,Parvati, 668,Bibvewadi,Manmohan Park",Dr.Purohit Nursing Home,Maharashtra,Pune,411009
"49/2B, Maharashtra Hsg Soc, Pune - Satara Road, Opposite Big Bazar",Mahajan Hospital,Maharashtra,Pune,411009
"484/6, Mitramandalcolony, Aranyeshwarroad, Parvati",Samarth Hospital- Pune,Maharashtra,Pune,411009
"494/13, Mitra Mandal Colony Pazvati Pazvati Pune",Shahade Hospital,Maharashtra,Pune,411009
"63/2B, Kamla Heritage 1St Floor Above Hotel Baasuri Pune-Satara Road Pune",Siddhant Maternity Home,Maharashtra,Pune,411009
"101, Lotus Court, Pune-Satara Road, Pune - 9",Spandan Hospital and Research Center,Maharashtra,Pune,411009
"Flat No. D/2, 2Nd Floor, Arayenshwar Park, Near Aranyeshwar Temple, Sahakarnagar",Walimbe Eye Clinic,Maharashtra,Pune,411009
"83/1, Sarang Society, Sahakar Nagar, Pune-9",Yashashree Maternity And Nursing Home,Maharashtra,Pune,411009
"Mitramandal Sabhagraha Bldg, Parvati",Yeshwant Eye Clinic and Hospital,Maharashtra,Pune,411009
"339-C, Near Kem Hospital,Rasta Peth",Dhanwantari Hospital,Maharashtra,Pune,411011
"Adinath Shopping Centre, 1St Floor, Pune Satra Road, Pune",Dugad Hospital Pvt Ltd,Maharashtra,Pune,411011
"Siddhivinayak Keshar Narpatgiri Chowk Somwar Peth, Pune",Infedis Diagnostic Center,Maharashtra,Pune,411011
"489, Rasta Peth. Sardar Moodliar Road,",King Edward Memorial Hospital (Kem Hospital),Maharashtra,Pune,411011
"1486, Kasba Peth, Next To Daruwala Pool, Pune",Samarth Hospital,Maharashtra,Pune,411011
"501/B, Rastapeth, 2Ndfloor, OppositeApollotheatre",Sameeksha Hospitals,Maharashtra,Pune,411011
"227, Rasta Peth, Omkar Apt, Pune,",Shri Samarth Hospital,Maharashtra,Pune,411011
"1317, Kasaba Peth,Pune.",Surya Hospital,Maharashtra,Pune,411011
"Sur No. 392/393 Mumbai - Pune Road,",Swasthya Hospital,Maharashtra,Pune,411011
"A-23, Geeta Colony, Kasturba Soceity, Vishran Wadi,Behind Jakat Naka",Vinod Memorial Hospital,Maharashtra,Pune,411011
"No. 3 & 4/7B, Agrasen Nagar,Opposite Atlas Copco Co. Dapodi,",Bagade Hospital For Women and Maternity Home,Maharashtra,Pune,411012
33 A Mumbai-Pune Road Dapodi Pune,Lunkad Hospital,Maharashtra,Pune,411012
"Gauri Appartment, Dapodi, Pimple Gurave Road, Dapodi, Pune,",Moraya Hospital,Maharashtra,Pune,411012
"Parekh B Towers, Biaroba Nala, Fatimanagar",Deshpande Hospital,Maharashtra,Pune,411013
"Fatima Convent Compound, Near Vishal Mega Mart, Fatima Nagar, Pune-",Fatima Convent Sahyadri Clinic,Maharashtra,Pune,411013
250/8,Gandhi Accident and General Hospital,Maharashtra,Pune,411013
"Mihir Apartments, Bhairoba Nallah, Pune -Sholapurroad",Janam Nursing Home,Maharashtra,Pune,411013
"153, Magarpatta City Road, Hadapsar Hadapsar",Noble Hospital Pvt Ltd,Maharashtra,Pune,411013
M.K Apts. Fatima Nagar,Tanmay Nursing Home,Maharashtra,Pune,411013
351 Shukrawar Peth,Umarji Hospital,Maharashtra,Pune,411013
"45/1+2+5,Sangarsh Chowk Kharodi Road, Chandanagar Pune",Agarwal Maternity And General Hospital,Maharashtra,Pune,411014
"Shope No 10,Lunkad Plaza,Near Telephone Exchange,Viman Nagar,Pune",Apple Dentl Clinic,Maharashtra,Pune,411014
"21/22, Satyam Arcade, Pune Nagar Road, Ramwade, Pune",Diagnopoint Polyclinic and Diagnostic,Maharashtra,Pune,411014
"1St Floor, Satyam Arcade, Ramwadi, Nagar Road, Pune,",Dr. Bumb Nursing Home,Maharashtra,Pune,411014
"A - 1/Ii Floor,Hi Link Park,Ramwadi Naka,Nagar Road,Pune",Jeewan Jyot Hospital,Maharashtra,Pune,411014
"Sn 52 / 1 / 6, Shriram Nagar Society, Mundhwa By Pass Chowk, Pune Nagar Highway, Chandannagar",K. K. Hospital - Pune,Maharashtra,Pune,411014
"S.No-49/2Lot No-43,Chandannagar",Kirad Nursing Home and Critical Care Centre,Maharashtra,Pune,411014
"Plot No 21, Sr.No 49/2, Near Rupee Co Op Bank,In Front Of Maruti Mandir & Chandan Nagar Bus Stop, Pune-Nagar Road",Kohakade Hospital,Maharashtra,Pune,411014
"S.No- 43/B/O 14, Ashok Nagar, Near Baramati Bank, New Kharadi Bypass, Chandanagar, Pune",Mamta Clinic and Nursing Home,Maharashtra,Pune,411014
"Plot No:38, S.No.49/2, Off Pune-Nagar,Shivraj Chowk, Near Bhaji Market,Chandan-Nagar, Kharadi.",Medipoint Hospital,Maharashtra,Pune,411014
"Sr.No-52/1, Shriram Society New Munohwa By Pass Chowk",Narawade Maternity and General Hospital,Maharashtra,Pune,411014
"52/1/1, Shreeram Nagar Society, Chandan Nagar Kharadi Pune Nagar Highway Pune",Rakshak Hospital,Maharashtra,Pune,411014
"Oldmundhvaroad, Nearsundarabaimaratheschool, Ganeshnagar, Vadgaonsheri, Pune",Salunke Hospital,Maharashtra,Pune,411014
"45-A/8, Vadgaon Sheri,",Seva Hospital and Maternity Home,Maharashtra,Pune,411014
"11/7B, Mundhwa By Pass Road, Near Iit, Chandanagar",Shree Laxmi Hospital,Maharashtra,Pune,411014
"1St Floor, Satyam Arcade, Ramwadi Nagar Road, Pune",Shree Tirupati Health Care,Maharashtra,Pune,411014
"Khandagali Niwas, Shri Ram Hospital Society, Pune Merchant Bank, Nagar Road, Pune",Takawale Accident and Multi Speciality Hospital,Maharashtra,Pune,411014
"99/A,Kasturba Society,Visheantwadi,Lohogaon Road,P",Kasturba General Hospital,Maharashtra,Pune,411015
"Alandi Road, Opp Mahalaxmi Vihar, Vishrantwadi Pune",Kedarnath General Hospital,Maharashtra,Pune,411015
"Sai Park,Sr.No-84, Dighi Bhosari Road,Dighi P",Rode Hospital,Maharashtra,Pune,411015
"B- 1, Sadashiv Appt, OppositePolice Ground, F.C.Colege Road, Pune",Cure Spects Eye Care Laser Ltd,Maharashtra,Pune,411016
"No.976A, Shop No. 5, Chandrlok Co-Op.Hsg Society.Ltd, Gokhale Nagar Road,Pune",Dr. Kulkarni Dental Centre,Maharashtra,Pune,411016
"1066-A, Gokhale Road, Shivajinagar, Pune",Joglekar Hospital,Maharashtra,Pune,411016
"1, Ideal Chambers, Ideal Colony, Paud Road, Kothrud",Medilaser Eye Clinic - Pune,Maharashtra,Pune,411016
"Anjali Apartments, Vetalbaba Chowk,Shivaji Nagar,",Om Hospital,Maharashtra,Pune,411016
"402/A, Senapati Bapat RoadGokhalenagar , Opp Dominoz Pizza",Oyster and Pearl Hospital Tulip,Maharashtra,Pune,411016
"1123 B, Shanti-Prasad, Shivaji Nagar, Near Hotel Lalit Mahal, Model Colony, Pune",Punarvasu Chikitsalaya,Maharashtra,Pune,411016
"968/969 Senapati Bapat Road, Chaturshringi, Pune",Ratna Memorial Hospital,Maharashtra,Pune,411016
"F.P. 402 / A, Ghokale Nagar Road, Shivaji Nagar, Senapati Bapat Road",Seth Ramdas Shah Memorial Hospital .,Maharashtra,Pune,411016
"Near Sitara Garden Hotel, Nakhate Chowk, Rahatni",Aaditya Multi Speciality Hospital,Maharashtra,Pune,411017
"Near Nav Maharashtra School, Pimpri Waghere, Pune",Amrut Hospital,Maharashtra,Pune,411017
"568, Dr. Ambedkar Chowk, Opp Deluxe Cinema, Pimpri, Pune",Anjali Hospital,Maharashtra,Pune,411017
Sai Chowk Pimpri Colony Pimpri Pune,Ashwini Nursing Home,Maharashtra,Pune,411017
"Flat No- 1, Shatanand Complex Near Pmt Bus Depot, Gadital, Hadpsar, Pune",Atharva Diagnostic Center,Maharashtra,Pune,411017
S No 901 Near Tapovan Mandir Near Tapovan Mandir Pimpri,Devadhar Nursing Home,Maharashtra,Pune,411017
"Chatrapati Shivaji Choek, Opp Pcmc Bus Stop Rahatani",Dr Dnyanote Multi Speciality Hospital,Maharashtra,Pune,411017
336 Natasha Near Ashok Theatre Pimpri Pune,Eyelight Laser and Eye Care Pvt Ltd,Maharashtra,Pune,411017
Plot No 105 Near Kalewadi Bridge Near Kalewadi Bridge Pimpri,Kaushal Hospital,Maharashtra,Pune,411017
"Near Jyotibha Temple,Alphonsa School Road,Vijay Nagar,Kalewadi",Medlife Multispeciality Hospital and Icu,Maharashtra,Pune,411017
"Plot No, 336, Pimpri Pune",Natasha Nursing Home,Maharashtra,Pune,411017
"Opposite M.M.School, Above Shagun Plywood, Main Road, Kalewadi",New Life Children Hospital,Maharashtra,Pune,411017
"Nanak House, Near Pimpri Kalewadi Bridge Pimpri",Siddhi Hospital,Maharashtra,Pune,411017
Opp:- Pimpri Railway Station,United Clinic,Maharashtra,Pune,411017
"Fusion Park, Ajmera, Morwadi Road, Pimpri",Avanti Nursing Home,Maharashtra,Pune,411018
"Kamala Crossroad, 1St Floor, Office No 14, B-Wing, Opp P C M C Office, Pimpri",Dr Patil Ent Hospital,Maharashtra,Pune,411018
"M.I.D.C. Road,",Life Care Hospital,Maharashtra,Pune,411018
Pimpri,Padam.Dr.D.Y.Patil Hospital and Research Centre,Maharashtra,Pune,411018
"Backau Wolf Gate, Station Road, Pimpri Pune",Pimpri Chinchwad (Pcip) Institute Of Paediatrics,Maharashtra,Pune,411018
"14, Sukhwani Lawns Morawadi Pimpri Pune- 411018",Prem Clinic and Hospital,Maharashtra,Pune,411018
"1St, Floor Yeshwantrao Chavan Memorial Hospital, Sant Tukaram Nagar, Pimpari",Ruby Ailcare Superspeciality Cardiac Care Centre,Maharashtra,Pune,411018
Pimpri Pune,Swaminathan Clinic,Maharashtra,Pune,411018
"Plot No.118, Sector- 20, Krishna Nagar, Chinchwad, Pune,",Ashwini Hospital and Endoscopy Centre,Maharashtra,Pune,411019
"Gp - 116, Vrundavan Soc. Area, Near Rotary Club, Midc, G. Block, Chinchwad,","Chetana Hospital, Pune",Maharashtra,Pune,411019
"Gp-66, G Block Midc Opp K Bajaj Hish School Chinchwad Pune",Dhanashree Hospital,Maharashtra,Pune,411019
"Mayur Trade Centre, Q-217, 2Nd Flr., Opp Unique Hosp., Chinchwad, Pune",Harsh Eye Clinic,Maharashtra,Pune,411019
"Plot No: Sei 4/1, D Ii Block, Chinchwad, Telco Road, Near Wonder Car Show Room, Near Ksb Pumps, Midc, Chinchwad - Pune","Kabre Orthopedic, Spine and Dental Center",Maharashtra,Pune,411019
"Jeevan Nagar, Chinchwad Station",Kusum Memorial Hospital,Maharashtra,Pune,411019
"18/68, M.Phule Nagar, Chikhali Road, Chinchwad, Pune",Mayur Hospital,Maharashtra,Pune,411019
"Block No. 104, Opposite Finolex Pipe Telco Road, Midc Chinchwad, Pune",Medicure Hospital,Maharashtra,Pune,411019
"Near Mumbai Pune Road, Chinchwad Station",Sushrut Hospital,Maharashtra,Pune,411019
"Hira-Moti Fortune, Mumbai-Pune Road, Opposite Chinchwad Police Station, Chinchwad, Pune",Unique Childrens Hospital,Maharashtra,Pune,411019
"9, Sagar Society, Vidnyan Nagar, Homeland Road, Bavdhan",Bhavdhan Medicare Centre,Maharashtra,Pune,411021
"A-35-36,Niranjan Complex,Sus Roadashan",Jeevan Deep Medicare Centre,Maharashtra,Pune,411021
"Lantana Garden, Pashan Road, Bavdhan, Pune",Om Hospital,Maharashtra,Pune,411021
"204,205,Montvert Arcade,Pashan - Sus Road, Pashan, Pune",Prakash Netralaya,Maharashtra,Pune,411021
"111, Mont-Vert Arcade, Above Icici Atm, Pashan-Sus Road, Pune",Vitalife Clinic,Maharashtra,Pune,411021
"Near Manisha Theatre, Uttam Nagar, Shivne",Kavde Nursing Home,Maharashtra,Pune,411023
"Uttam Nagar,Near National Defence Academy (Nda)",Sanjeevani Hospital,Maharashtra,Pune,411023
"Nda Road, Uttamnagar Pune",Sayali Nursing Home,Maharashtra,Pune,411023
"Sant Abhang Colony, Near Poona Marble, Pimple Gurav, Pune",Bhakti Hospital,Maharashtra,Pune,411027
Ganganagar Sangavi Pune,Dr Makan Surgical Maternity And Accident Hospital,Maharashtra,Pune,411027
"Vaishnavi Palace,Shitolenagar,Old Sangavi,P",Nityaseva Eye Hsopital and Eye Bank,Maharashtra,Pune,411027
"New Sangvi, Pune",Om Netralaya Eye Clinic,Maharashtra,Pune,411027
"Survey No. 43/1/1, Anand Park Dapopi Road, Pimple Gurav",Pooja Hospital,Maharashtra,Pune,411027
"Mata Chambers Anand Nagar, Old Sanghvi, Pune",Prathamesh Hospital,Maharashtra,Pune,411027
Awanti Apt Opp Amti Ganpati Kelkar Road Narayanpeth Pune,S P Deshpande Eye Clinic,Maharashtra,Pune,411027
"Priyadarshani Nagar,Near S.T.Colony,Old Sanghvi.",Seva Hospital,Maharashtra,Pune,411027
"59/3, Near Katc Wosti, Next To Planet Hiueniem Societi, Pimple, Saudagar,",Shree Shakti Hospital,Maharashtra,Pune,411027
"S.No. 28, Shop No.2, Shri Krishna Nagar Dapodi Road, Pimple Gurav",Shri Sai Clinic,Maharashtra,Pune,411027
"Parmar Complex, Ground Floor, Behind Lokseva Hanuman Mandir, Gadital, Hadapsar",Abane Hospital,Maharashtra,Pune,411028
"F- 14 1St Flr Destination Centre, Magarpatta City, Hadapsar, Pune",Advanced Dental Care Center,Maharashtra,Pune,411028
"163/A,Bhosale Garden, Iii Pmc Stop,Hadapsar.",Alatkar Hospital,Maharashtra,Pune,411028
"Sane Gurugi Arogya Kendra Hadapsar,Pune-",Ayurved Rugnalaya,Maharashtra,Pune,411028
"Laxmi Angan, Near Hadapsar Mkt.",Dr Pawar Nursing Home,Maharashtra,Pune,411028
"Hadapsar, 1 Satyalok Gidital",Dr.Vaidya Hospital,Maharashtra,Pune,411028
"Survey No-93, Tarawde Vasti,Mohammad Wadi Road, Hadapsar,",H. V. Desai Eye Hospital / Pbma H.V.Desai Eye Hospital,Maharashtra,Pune,411028
"158/2A/2A, Solapur Road,OppositeVaibhav, Theatre,Pune-Solapur Road,Hadapsar, Pune,",Kausalya Hospital,Maharashtra,Pune,411028
"Hadapsar, Pune",Mams Sumatibhai Shah Ayurved Mahavidyalayas,Maharashtra,Pune,411028
"Sr.No. 12/1A/1 Agarwal Corner Flat.No.1 OppositeAgarwal Darmashala, Pune-Sholapur Rd, Hadaspur",Meera Nursing and Maternity Home,Maharashtra,Pune,411028
"84, Palacino Appartments, Behind Vaibhav Theatre, Pune-Solapur Road, Hadapsar, Pune-411028 Hadapsar, Pune-411028","Mohintara Hospital, Hadapsar",Maharashtra,Pune,411028
"106, Ramanand Complex, Near Gadital, Sofapur Road, Hadapsar, Pune- 411028",Mohite Eye Hospital,Maharashtra,Pune,411028
"Shatanand Complex, First Floor, Near P.M.T. Depo, Gadital, Near P.M.T. Depo, Gadital,",Nande Hospital,Maharashtra,Pune,411028
"Bhosale Garden, Hadapsar-28",Navjeewan Hospital,Maharashtra,Pune,411028
"S.No-93, Tarawade Vasti, Mohammadwadi, Hadapsar, Off Nibm Road, Corinitam Club",Pbmas H V Desai Eye Hospital,Maharashtra,Pune,411028
"Kanchanjunga Arcade, Off Pune, Solapur Road, Hadapsur,",Pooja Nursing Homepooja Hospital,Maharashtra,Pune,411028
"228, Ramanand Complex,Poona Sholapur, Road, Near Jenaseva Bank, Pune,",Remedy Hospital,Maharashtra,Pune,411028
"G & S Tower, Survey No.153/A, Hissa No.1 To 4/21, Magarpatta, Pune-Solapur Road, Hadapsar",Sahyadri Hospital Hadapsar,Maharashtra,Pune,411028
"Near Samidha Gas Agency, Malwadi, Hadapsar, Pune",Sane Guruji Arogya Kendra,Maharashtra,Pune,411028
"Gadital, Solapur Road, Hadapsar, Pune,",Sanjeevani Nursing Home,Maharashtra,Pune,411028
"L P Classics, 1St Floor, Pune Solapur Highway, Opp Hadapsar Gaon P M T Bus Stop, Hadapsar",Shraddha Hospital,Maharashtra,Pune,411028
"Bharat Colony, Handewadi Road, Near Ganga Village, Hadpsar - Pune,",Sunita Nursing Home,Maharashtra,Pune,411028
"Sr No 229/A 1, Kamdhenu Estate, Hadapsar, Pune,",Ushakiran General Hospital,Maharashtra,Pune,411028
"Raghukul Plaza, First Floor, Opposite Akashwani Tower Hadapsar, Pune",Vaibhavi Hospital and Intensive Care Unit,Maharashtra,Pune,411028
84 Placino Behind Vaibhav Theatre Hadapsar Behind Vaibhav Theatre Hadapsar Pune,"Welfare Medical Foundatios, Mohintara Hospital",Maharashtra,Pune,411028
"76, Magar Lane, Opposite Sane Guruji Bhawan Near Market",Yash Hospital - V.K. Medical Foundation,Maharashtra,Pune,411028
"15/2A/2A, Opp Vaibhav Theatre, Pune Solapur Road,Hadapsar, Pune",Zenith Hospital,Maharashtra,Pune,411028
"555, Narayan Peth, N C Kelkar Road, Pune",Ashakiran Hospital,Maharashtra,Pune,411030
"18, Laxmi Park Colony Shastri Rd., Navi Peth, Lbs Road,",Bhide Hospital,Maharashtra,Pune,411030
"210/B, Navi Peth, Pune-",Chinmay Institute Of Paediatrics,Maharashtra,Pune,411030
Shaniwar Peth Karad,City Medical Centre,Maharashtra,Pune,411030
"Phinix House, 1 Floor, 413/B- 1, Shanivar Peth, Pune",Dr Valhavankar Eye Clinic and Speciality Hos,Maharashtra,Pune,411030
"2077, Sadashiv Peth, Behind S.P. College Pune",Dr. Dakes Institute For Sight,Maharashtra,Pune,411030
"1021 / 22 Sadashiv Peth,Nagnath Path,",Dr. Madhav Shintre,Maharashtra,Pune,411030
"272, Parth Complex, Navi Peth Pune",Dr.Pawar Eye Hospital,Maharashtra,Pune,411030
"Colony Nursing Home, 50/51 Laxmi Park Colony, Navi Peth, L.B. Shastri Road",Dwarika Sangamnerkar Medical Foundation,Maharashtra,Pune,411030
"577/2, Near Dattawadi Police Chowky, Off, Sinhagad Road, Dattawadi,Pune",Global Hospital and Research Institute,Maharashtra,Pune,411030
"1301, Bharat Natya Mandir Road Pune Pune",Godbole Hospital,Maharashtra,Pune,411030
"1148 Sadashiv Peth,Opposite Osite Perugate,",Manoj Clinic / Gore Hospital,Maharashtra,Pune,411030
"27, Sadashiv Peth,Near Alka Talkies,",Poona Hospital And Research Centre,Maharashtra,Pune,411030
"Opp Pune Vidyarthi Griha, 1424, Sadashivpeth",Prabhudesai Eye Clinic,Maharashtra,Pune,411030
"1536, Laxmi Chambers, Sadashiv Peth, Tilak Road, Pune",Ram Krishna Hospital,Maharashtra,Pune,411030
"No. 695, Sadashiva Peth,Opposite Vijay Cinema,Laxmi Road.",Sant Dnyaneswar Medical Education Research Centre,Maharashtra,Pune,411030
"No. 695-A, Sadashiv Peth Laxmi Road, Opp Vijay Talkies",Shaishav Clinic,Maharashtra,Pune,411030
"577/2, Near Dattawadi Police Chowky, Off. Sinhagad Road, Pune,",Shrendkar Healthcare and Hospitality Services Private Limited,Maharashtra,Pune,411030
"No. 2149, Above Axis Bank,Vijayanagar Colony,Opposite Kaveri Hotel,Sadashiv Peth,",Vibhute Hospital,Maharashtra,Pune,411030
"Ashirwad Complex, Power House Chowk. Talera Hospital Rd, Chinchwadgaon, Pune",Ankur Nursing Home,Maharashtra,Pune,411033
"Power House Chowk,Opp Pmt Bus Stop,Chinchwad.",Ashwin Medical Foundations Moraya Hospital,Maharashtra,Pune,411033
"Bhoir Palace,Dange Chowk,Thergoan Chinchwad, Pune",Bhoir Hospital,Maharashtra,Pune,411033
"Sudarshan Nager, Chinchwad",Bindu Nursing Home,Maharashtra,Pune,411033
"Near Chinchawadgaon Police Chowky,Chaphekar Chowk,Chinchawad,","Chaitanya Hospital, Chinchwada",Maharashtra,Pune,411033
"Gajanan Apts,Near Gajanan Mahaveer Mandir,Tanajinagar",Datye Nursing Home,Maharashtra,Pune,411033
"384, Haritage Plaza. Near Chinchwad Gaon Bus Stop Pune",Dristi Deep Eye Clinic,Maharashtra,Pune,411033
"Sai Plaza, Rahatani Phata, Kalewadi Road, Kalewadi Road,",Global Multi Speciality Hospital,Maharashtra,Pune,411033
"314 - B, Near Chinchwad Railway Station Telco Road, Chinchwad Pune",Lokmanya Hospital,Maharashtra,Pune,411033
74 Pavana Nagar Next To Jain School Chinchwad Pune,Minerva Hospital and Research Center,Maharashtra,Pune,411033
"Opp Chaitanya Sabhagruha, 60, Pawanangar, Chinchwad, Pune",Om Shree Swami Samarth Hospital,Maharashtra,Pune,411033
"59, Pawana Nagar Society, Ruston Colony Road, Chinchwad Pune",Panwalkar Maternity and Nursing Home,Maharashtra,Pune,411033
"S.No 19/3,Plot No A/1,Dange Chowk,Thergaon,P",Spandan Hospital,Maharashtra,Pune,411033
"74 Pawan Nagar Next To Jain School, Chinchwad",Super Tech Hospital,Maharashtra,Pune,411033
